COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
WISE,TEXAS,25663,56005,63661,59894,20487
ELLIS,TEXAS,25662,61952,69685,152020,51016
SPOKANE,WASHINGTON,25661,49233,62589,473832,187572
ROSEAU,MINNESOTA,25650,50759,59226,15587,6402
REDWOOD,MINNESOTA,25649,47447,60685,15942,6507
MISSOURI,STATE,25649,47380,59527,6007182,2360131
ROCKBRIDGE,VIRGINIA,25638,48313,59165,22345,9234
JESSAMINE,KENTUCKY,25637,49024,58733,49112,18012
WATONWAN,MINNESOTA,25635,49698,61064,11173,4445
SMITH,TEXAS,25626,47432,60259,212227,78459
JEFFERSON,WISCONSIN,25625,53454,67058,83985,32137
CAMDEN,NORTH CAROLINA,25620,56607,70025,10037,3580
LOGAN,OKLAHOMA,25620,53591,66917,42871,14927
SEDGWICK,KANSAS,25603,49865,63042,500768,192651
NEWTON,INDIANA,25594,50262,57870,14151,5374
LACKAWANNA,PENNSYLVANIA,25594,46044,59573,214275,85769
BOONE,NEBRASKA,25590,45246,59278,5441,2242
DUBOIS,INDIANA,25589,54780,66988,42103,15890
CODINGTON,SOUTH DAKOTA,25582,47214,63037,27439,11566
ADAMS,NEBRASKA,25571,49440,65286,31367,12578
ADAIR,IOWA,25564,47892,60232,7588,3295
HARDIN,TEXAS,25559,53013,64383,54945,20633
POCAHONTAS,IOWA,25556,44073,56607,7243,3227
LINCOLN,NORTH CAROLINA,25550,48940,60059,78761,29994
SHELBY,TENNESSEE,25549,46250,57213,932919,343517
CENTRE,PENNSYLVANIA,25545,50336,70654,154460,57197
GRAY,KANSAS,25537,57808,63875,6012,2066
REPUBLIC,KANSAS,25531,39572,52944,4919,2274
ALPINE,CALIFORNIA,25527,58636,76645,1165,394
TRIGG,KENTUCKY,25527,45629,53893,14289,5935
LIBERTY,MONTANA,25522,44493,58438,2357,847
AUGUSTA,VIRGINIA,25519,52027,60614,73726,27999
UINTA,WYOMING,25513,58515,73060,21040,7290
MONROE,PENNSYLVANIA,25494,57408,65433,168947,58875
ISANTI,MINNESOTA,25482,57353,68053,38078,13860
PUTNAM,OHIO,25481,61192,72075,34339,13022
MARION,IOWA,25477,54723,69241,33318,12691
WELD,COLORADO,25468,57180,66840,258780,90465
JERSEY,ILLINOIS,25467,53954,63789,22850,8752
FILLMORE,NEBRASKA,25460,48464,60897,5818,2444
BECKER,MINNESOTA,25455,50214,59844,32800,13476
LINCOLN,NEW MEXICO,25449,43014,49213,20359,8685
FORD,ILLINOIS,25448,48866,60799,13991,5651
CASS,IOWA,25448,43481,52403,13793,6081
OHIO,INDIANA,25443,50377,59539,6075,2422
SHACKELFORD,TEXAS,25436,47277,56875,3362,1445
CARROLL,IOWA,25430,48361,64495,20732,8626
WALLACE,KANSAS,25429,47454,59038,1568,611
MCINTOSH,NORTH DAKOTA,25427,36066,50887,2791,1308
PAWNEE,NEBRASKA,25426,37321,49191,2759,1314
LEE,ILLINOIS,25409,50060,62194,35535,13504
TURNER,SOUTH DAKOTA,25406,51925,62026,8344,3461
GENESEE,NEW YORK,25403,49922,62864,59872,23884
CLARK,KANSAS,25385,41129,52083,2188,932
BLUE EARTH,MINNESOTA,25380,49935,68864,64504,24476
WICOMICO,MARYLAND,25378,51092,59379,99683,36405
BAYFIELD,WISCONSIN,25377,44944,55654,15071,6964
MEADE,SOUTH DAKOTA,25375,49324,58193,25914,10083
WHITE,ILLINOIS,25375,42914,56110,14630,6240
MONTANA,STATE,25373,46230,59743,998554,405525
OTTAWA,MICHIGAN,25371,56453,67166,267017,94666
STEUBEN,NEW YORK,25371,47476,56903,98951,41503
RICE,MINNESOTA,25370,59915,72133,64585,22299
MIAMI,OHIO,25369,52040,61644,102867,41239
DECATUR,TENNESSEE,25368,36258,46973,11695,5066
BANDERA,TEXAS,25364,49215,63387,20533,8405
ARIZONA,STATE,25358,49774,58897,6479703,2370289
WASHINGTON,TENNESSEE,25355,42075,52949,123891,51771
MCPHERSON,NEBRASKA,25339,54926,57981,382,169
PORTAGE,OHIO,25332,52697,66446,163387,60992
CHEMUNG,NEW YORK,25329,48804,60715,88876,35622
LOGAN,KANSAS,25328,41765,59412,2775,1282
WAYNE,NEW YORK,25327,52601,62677,93224,36399
AUGLAIZE,OHIO,25323,52239,62940,45906,18241
HARLAN,NEBRASKA,25322,45920,55400,3445,1573
GILLIAM,OREGON,25320,44743,56667,1915,883
POWESHIEK,IOWA,25318,50349,66827,18804,7488
TAMA,IOWA,25311,51670,60657,17661,6794
NEWPORT NEWS,VIRGINIA,25310,51027,59514,181025,69211
YELLOW MEDICINE,MINNESOTA,25303,52510,61389,10294,4135
ANDREW,MISSOURI,25302,54336,67006,17319,6691
HENRY,GEORGIA,25299,60781,67683,206349,69238
MCCLAIN,OKLAHOMA,25293,54426,67537,35155,12749
KINGS,NEW YORK,25289,46085,51581,2539789,916025
EAU CLAIRE,WISCONSIN,25287,48090,67630,99788,39754
CASS,MINNESOTA,25287,45045,53277,28485,12906
NORTH CAROLINA,STATE,25284,46334,56928,9651380,3715565
KEWAUNEE,WISCONSIN,25282,53588,67033,20578,8145
ALLEN,INDIANA,25279,49370,60867,358324,138212
GREEN LAKE,WISCONSIN,25275,46994,60358,19042,8001
BUTLER,IOWA,25269,52026,63153,14909,6189
PIMA,ARIZONA,25269,45841,57757,986891,384041
NEMAHA,NEBRASKA,25269,42672,68516,7207,3001
FRONTIER,NEBRASKA,25262,50227,58636,2568,1086
MARSHALL,KANSAS,25262,44032,60625,10057,4345
KEYA PAHA,NEBRASKA,25251,36923,44231,698,354
FILLMORE,MINNESOTA,25249,50657,64379,20870,8422
CABARRUS,NORTH CAROLINA,25247,53551,66058,181415,64713
HAMPTON,VIRGINIA,25247,50705,62991,136957,52511
WESTMORELAND,VIRGINIA,25245,49157,55966,17532,7130
HAMLIN,SOUTH DAKOTA,25233,55563,63659,5925,2041
MADISON,NEW YORK,25230,53589,66688,72839,26565
CRAWFORD,ILLINOIS,25214,46216,59235,19707,7731
KNOX,NEBRASKA,25214,42230,54286,8617,3776
CHERRY,NEBRASKA,25213,45464,54185,5735,2618
CAROLINE,MARYLAND,25211,58632,66471,32871,11806
BURT,NEBRASKA,25203,46817,62449,6748,2899
HOUSTON,GEORGIA,25195,54893,66233,143205,52330
LINCOLN,OREGON,25194,42365,53750,46070,20913
COOKE,TEXAS,25186,50067,59160,38484,14466
ANTELOPE,NEBRASKA,25186,43518,54688,6600,2855
YAVAPAI,ARIZONA,25186,42987,53015,211968,91349
GEORGIA,STATE,25182,49179,58755,9810417,3518097
HOOD RIVER,OREGON,25181,56725,64422,22427,8144
DESOTO,MISSISSIPPI,25176,58505,64822,163975,57979
HARDIN,IOWA,25153,49342,64360,17453,7061
WILKIN,MINNESOTA,25148,50507,62835,6576,2685
CHRISTIAN,MISSOURI,25134,52838,60493,78724,29652
SHENANDOAH,VIRGINIA,25134,49625,57422,42270,17397
DOUGLAS,WISCONSIN,25129,45418,59716,43994,18933
LEE,TEXAS,25123,51534,66352,16603,6078
BIG HORN,WYOMING,25119,52589,61910,11741,4462
HASKELL,KANSAS,25114,52415,60125,4219,1411
WASHINGTON,VIRGINIA,25109,41897,54606,54804,22755
ONEIDA,NEW YORK,25103,48729,62090,234206,91075
CLINTON,MISSOURI,25100,53826,64341,20659,8089
AMELIA,VIRGINIA,25100,52885,61403,12712,4808
IROQUOIS,ILLINOIS,25098,47079,58930,29446,11892
KEITH,NEBRASKA,25097,41970,58047,8247,3786
TIPTON,INDIANA,25093,52686,60757,15834,6622
CHATHAM,GEORGIA,25093,45794,55978,271102,102484
RUTHERFORD,TENNESSEE,25077,55401,66755,269407,96731
LIVINGSTON,LOUISIANA,25076,56811,66164,130192,46246
CLAYTON,IOWA,25074,47494,57348,17990,7707
FARIBAULT,MINNESOTA,25065,44264,56849,14430,6331
WINNESHIEK,IOWA,25062,53122,66694,21038,8042
BARRY,MICHIGAN,25059,52186,63064,59121,22610
PALO ALTO,IOWA,25055,44663,60550,9352,3948
BOX BUTTE,NEBRASKA,25046,46373,58521,11312,4860
MUSCATINE,IOWA,25038,51425,60616,42798,16410
LAKE,COLORADO,25029,44610,57267,7332,3079
LIMESTONE,ALABAMA,25020,48619,57858,85264,31794
TREMPEALEAU,WISCONSIN,25017,49143,61196,29098,11745
BURNET,TEXAS,24998,48115,58125,43230,16588
MONTGOMERY,OHIO,24997,43401,55971,536433,222578
SIERRA,CALIFORNIA,24996,39009,52454,3127,1253
MOWER,MINNESOTA,24990,46004,61094,39252,15855
WASHINGTON,COLORADO,24977,44683,55606,4796,2019
MONTGOMERY,ALABAMA,24975,44790,56684,228980,88844
PORTAGE,WISCONSIN,24972,50996,65214,70136,27975
SULLIVAN,NEW YORK,24963,48089,60166,77134,29531
KAUFMAN,TEXAS,24954,61194,67995,105220,34922
LIVINGSTON,ILLINOIS,24952,54614,64978,38687,14446
STEVENS,KANSAS,24950,54494,63438,5713,1936
AITKIN,MINNESOTA,24939,41617,50684,16032,7741
SALINE,KANSAS,24935,47215,55970,55633,22173
GARRETT,MARYLAND,24932,45206,56341,30014,11974
ST. JAMES,LOUISIANA,24930,55443,63632,21916,7786
ALLAMAKEE,IOWA,24926,48831,56269,14242,5862
WOODWARD,OKLAHOMA,24922,51867,63096,20483,7382
CARTER,MONTANA,24921,39659,60000,1241,495
JASPER,IOWA,24905,50513,63418,36710,14826
POTTAWATOMIE,KANSAS,24892,56854,71259,22009,7974
KOSCIUSKO,INDIANA,24881,50859,60725,77527,29705
HUBBARD,MINNESOTA,24880,45961,55744,20440,8670
DE BACA,NEW MEXICO,24879,37660,46534,1975,689
ORANGE,FLORIDA,24877,47581,56830,1175416,415790
WAGONER,OKLAHOMA,24874,55723,63730,74077,27016
CARBON,PENNSYLVANIA,24861,48900,57049,65074,25903
DEWEY,OKLAHOMA,24860,46488,57868,4800,1830
ALACHUA,FLORIDA,24857,42149,62139,249848,96043
KENT,DELAWARE,24851,55149,64414,165030,58524
WASHBURN,WISCONSIN,24850,41924,52635,15842,7348
KENT,TEXAS,24839,46875,56016,913,401
WEST BATON ROUGE,LOUISIANA,24838,50926,64567,24012,8820
SHERMAN,NEBRASKA,24837,41835,51469,3129,1369
BROOME,NEW YORK,24835,45958,59345,199298,79763
BENZIE,MICHIGAN,24831,47366,54971,17474,7682
PIERCE,NEBRASKA,24830,51924,62143,7211,2916
BUFFALO,NEBRASKA,24830,50963,67076,46885,17705
EFFINGHAM,GEORGIA,24824,63030,69450,52961,17830
JOHNSON,TEXAS,24816,57535,65392,152384,52044
KEWEENAW,MICHIGAN,24802,39038,50250,2181,1014
LAFOURCHE,LOUISIANA,24798,50572,59941,96755,35072
LUZERNE,PENNSYLVANIA,24793,44402,58150,320827,130880
JEFFERSON,MISSOURI,24792,54845,64116,219636,80812
OSAGE,KANSAS,24789,50205,62512,16260,6558
SCHLEICHER,TEXAS,24787,50648,70556,3316,1078
BALLARD,KENTUCKY,24781,44588,56414,8282,3327
JEFFERSON,NEBRASKA,24777,44843,57234,7563,3301
MONTEREY,CALIFORNIA,24775,59168,63669,420569,125428
FULTON,OHIO,24771,52856,63355,42601,16285
DELTA,COLORADO,24771,42078,51539,30659,12671
AIKEN,SOUTH CAROLINA,24769,44509,56150,161710,63388
ALBANY,WYOMING,24758,42774,67949,36745,15257
INGHAM,MICHIGAN,24754,45321,62971,281531,108823
STAUNTON,VIRGINIA,24753,38501,61671,23989,10495
BALTIMORE,MARYLAND,24750,41385,50151,621445,241455
ATCHISON,MISSOURI,24748,44426,54247,5605,2448
FRANKLIN,MISSOURI,24742,48857,60741,101569,39263
ORANGE,TEXAS,24736,49507,59926,82372,31162
SAN JACINTO,TEXAS,24733,46107,53569,26669,9425
CASCADE,MONTANA,24727,44963,58565,81621,33430
CHURCHILL,NEVADA,24716,49830,60951,24572,9253
EDWARDS,KANSAS,24714,46551,55114,2998,1269
SAN JUAN,COLORADO,24711,39583,53194,659,321
CAYUGA,NEW YORK,24702,51581,63082,79767,31311
VICTORIA,TEXAS,24700,50364,56062,88068,32072
MONTAGUE,TEXAS,24699,44231,55267,19668,8038
WARREN,MISSOURI,24692,50830,64196,32667,12572
KOOTENAI,IDAHO,24685,49002,56911,140785,55679
RUSSELL,KANSAS,24683,37111,48132,6945,3317
MORRIS,KANSAS,24680,47445,57161,5869,2503
CLINTON,NEW YORK,24676,50282,63665,81865,31901
LINCOLN,WISCONSIN,24669,49021,61366,28650,12513
NORFOLK,VIRGINIA,24659,44747,51986,244090,85557
ASOTIN,WASHINGTON,24659,43175,55321,21802,9058
MACOUPIN,ILLINOIS,24658,49590,60309,47462,19254
OSCEOLA,IOWA,24653,48659,63939,6335,2676
DICKEY,NORTH DAKOTA,24644,47359,62298,5264,2178
MERRICK,NEBRASKA,24639,50859,56185,7802,3316
HAWAII,HAWAII,24635,51250,59862,187044,64909
INDIANA,STATE,24635,48248,59911,6514861,2481793
CHIPPEWA,WISCONSIN,24628,50551,61420,62676,24456
CUSTER,NEBRASKA,24615,44873,56136,10872,4738
WHITLEY,INDIANA,24613,51914,61149,33274,13094
POLK,NORTH CAROLINA,24611,44745,53909,20381,8788
DICKINSON,MICHIGAN,24611,44136,53342,26201,11432
PARK,MONTANA,24611,42426,56960,15621,6445
DAVISON,SOUTH DAKOTA,24597,48341,62438,19622,8471
MADISON,NEBRASKA,24593,46566,58592,34995,13867
FLOYD,IOWA,24590,43826,56004,16177,7007
DODGE,NEBRASKA,24588,48626,57827,36675,15221
PRINCE OF WALES-HYDER CENSUS AREA,ALASKA,24581,46071,53333,5672,2240
MOFFAT,COLORADO,24577,53231,68822,13447,5062
WHEELER,OREGON,24575,37974,46875,1292,625
DODGE,WISCONSIN,24573,53075,64923,88598,33173
AUTAUGA,ALABAMA,24571,53682,66349,54907,20071
HARTLEY,TEXAS,24566,65750,75527,6076,1748
KIMBALL,NEBRASKA,24565,42180,52276,3779,1641
ANDERSON,TENNESSEE,24561,43620,55940,75263,30548
FRANKLIN,VIRGINIA,24557,45624,55970,56195,23358
MONONA,IOWA,24557,42025,57292,9208,3981
GAGE,NEBRASKA,24555,47654,61483,22055,9133
GRANT,SOUTH DAKOTA,24554,48896,57699,7307,3159
PENNINGTON,MINNESOTA,24554,45633,61448,14008,5806
CLAY,MINNESOTA,24550,52410,68533,59638,22463
NEMAHA,KANSAS,24550,47122,61696,10149,4117
RAY,MISSOURI,24549,52698,63014,23290,8735
WINNEBAGO,IOWA,24547,45603,61599,10732,4591
HAYWOOD,NORTH CAROLINA,24536,41557,52014,58951,26608
CARROLL,INDIANA,24531,50542,60427,20109,7995
BOYD,KENTUCKY,24530,40379,53328,49314,19530
WHITESIDE,ILLINOIS,24525,47667,58305,58150,23370
CLARK,KENTUCKY,24524,45853,57583,35608,14498
MITCHELL,IOWA,24518,51078,66895,10739,4389
HAMILTON,IOWA,24510,43589,58135,15486,6395
HAMILTON,KANSAS,24510,43357,51953,2645,1076
MONROE,IOWA,24508,45997,56887,8010,3361
CLAY,KANSAS,24503,45233,57236,8500,3407
ROCK,NEBRASKA,24501,43500,55625,1436,666
BUFFALO,WISCONSIN,24500,47384,58708,13466,5777
BAY,FLORIDA,24498,47461,57295,170704,67561
FLAGLER,FLORIDA,24497,47233,53823,97301,35647
CUMING,NEBRASKA,24496,47500,58654,9095,3822
DORCHESTER,SOUTH CAROLINA,24495,53857,62753,139802,50321
WINNEBAGO,ILLINOIS,24495,47072,58536,293384,113449
JACKSON,IOWA,24493,46467,56474,19737,8479
JONES,GEORGIA,24485,51497,60290,28650,10384
SUSQUEHANNA,PENNSYLVANIA,24477,48231,57595,42948,17163
SCOTT,ILLINOIS,24471,49669,61563,5288,2113
SHELBY,INDIANA,24459,51440,60234,44511,17171
YATES,NEW YORK,24457,49335,60271,25293,9602
BENTON,MINNESOTA,24453,52200,64694,38756,15359
STARK,OHIO,24453,45641,57381,375348,150003
WAYNE,NEBRASKA,24448,52147,69696,9499,3401
ANDROSCOGGIN,MAINE,24442,44921,57444,107634,44006
LOUISIANA,STATE,24442,44874,56288,4567968,1707852
GEORGETOWN,SOUTH CAROLINA,24437,40131,51852,60280,23115
WHITE PINE,NEVADA,24435,48586,63982,10023,3357
PRINCE GEORGE,VIRGINIA,24434,63074,70566,36462,10848
CARLTON,MINNESOTA,24434,53016,63548,35398,13789
FERGUS,MONTANA,24429,38344,52473,11517,4924
POLK,OREGON,24426,52808,62802,75930,28239
TENNESSEE,STATE,24409,44298,54779,6402387,2475195
DES MOINES,IOWA,24408,42451,53237,40301,16993
FAULKNER,ARKANSAS,24401,50314,65155,115928,42413
JACKSON,OREGON,24378,44005,53254,205117,83140
VANDERBURGH,INDIANA,24378,43540,58352,180233,73963
ANTRIM,MICHIGAN,24370,45362,53125,23504,9731
PEPIN,WISCONSIN,24367,47701,58770,7417,3085
COOS,NEW HAMPSHIRE,24367,41985,53813,32520,14531
ST. CLAIR,MICHIGAN,24357,48066,58697,161865,64379
CALCASIEU,LOUISIANA,24355,43499,55484,193528,73726
COLORADO,TEXAS,24348,45146,55408,20776,8079
MORGAN,ILLINOIS,24337,46809,62224,35424,13926
MARSHALL,WEST VIRGINIA,24329,40681,51779,32840,14042
JACK,TEXAS,24325,49038,64836,9012,2972
SIOUX,IOWA,24324,57227,67067,34050,11623
BOISE,IDAHO,24324,41056,55586,6944,2994
SHERMAN,OREGON,24314,42639,57115,1865,827
CLARK,INDIANA,24312,50496,60754,111221,42502
OTSEGO,MICHIGAN,24312,47584,56823,24127,9818
BULLITT,KENTUCKY,24308,54836,62514,75250,27874
CADDO,LOUISIANA,24308,41053,52823,255551,98554
LAVACA,TEXAS,24299,44149,54765,19351,7711
JASPER,INDIANA,24297,57500,67259,33398,11924
CLARK,ILLINOIS,24296,47405,55434,16284,6568
MILWAUKEE,WISCONSIN,24295,43193,55164,950527,379637
ELLIS,KANSAS,24291,43085,63712,28746,11824
YAMHILL,OREGON,24290,54535,62284,99802,34138
HOWARD,IOWA,24286,46429,55582,9560,3884
BLACK HAWK,IOWA,24273,45747,61495,131468,52276
LOUISA,IOWA,24272,50583,57545,11348,4381
BROADWATER,MONTANA,24270,45932,49362,5666,2421
WELLS,INDIANA,24269,48136,57459,27707,10904
CRAVEN,NORTH CAROLINA,24260,47141,55689,104041,39931
JUDITH BASIN,MONTANA,24260,41932,55089,2043,879
RICH,UTAH,24258,50000,65250,2279,664
GIBSON,INDIANA,24258,49329,61861,33514,13094
NEZ PERCE,IDAHO,24257,46503,58875,39458,16019
BEXAR,TEXAS,24253,50112,58289,1753238,604698
ECTOR,TEXAS,24247,51466,59067,141542,49962
FRANKLIN,MISSISSIPPI,24234,32372,39234,8013,3311
LANE,OREGON,24224,42931,56605,353382,144912
PLATTE,NEBRASKA,24219,51213,60814,32350,12477
ADAMS,ILLINOIS,24217,45073,58992,67152,26912
OKLAHOMA,STATE,24208,45339,56464,3785742,1444081
MARSHALL,SOUTH DAKOTA,24205,46597,64375,4657,1683
WEBSTER,IOWA,24203,41624,57137,37626,15458
WABAUNSEE,KANSAS,24199,54694,65417,7050,2693
ADAMS,COLORADO,24195,56270,64611,452030,152803
WYOMING,PENNSYLVANIA,24195,48482,58479,28177,10992
ERIE,PENNSYLVANIA,24189,45202,58451,280518,109675
LAKE,FLORIDA,24183,45035,54237,300926,117250
WARREN,PENNSYLVANIA,24179,43764,56410,41429,17257
GARFIELD,OKLAHOMA,24177,44530,53572,60956,23508
RUSH,KANSAS,24175,42610,52727,3233,1529
JASPER,ILLINOIS,24174,52233,59406,9680,3904
SCHUYLER,NEW YORK,24173,46976,58866,18432,7684
LEON,TEXAS,24170,44452,54609,16802,6349
PAULDING,GEORGIA,24168,61837,67668,143845,47881
WASHINGTON,NEW YORK,24168,52361,61494,63237,24499
BERKELEY,SOUTH CAROLINA,24165,52427,59373,184366,65392
OTSEGO,NEW YORK,24165,47765,60526,62029,24078
ALLEGHANY,VIRGINIA,24162,44848,59384,16240,6773
ANDERSON,KENTUCKY,24161,52646,64806,21575,8323
MERCER,OHIO,24157,52535,64758,40811,15851
KANE,UTAH,24154,48540,58883,7176,3077
CAMPBELL,SOUTH DAKOTA,24152,35729,50938,1435,679
HARDIN,KENTUCKY,24147,48687,58565,106211,39401
ALLEGAN,MICHIGAN,24140,52061,59509,111742,41794
CHICKASAW,IOWA,24139,43971,55735,12379,5364
MERCER,KENTUCKY,24138,45396,58533,21313,8745
PIPESTONE,MINNESOTA,24137,46019,56071,9470,3924
HOLT,MISSOURI,24127,42979,53578,4771,2218
MARION,INDIANA,24124,42334,52417,912242,360072
HOLT,NEBRASKA,24120,44427,58608,10435,4469
JACKSON,KANSAS,24117,54546,63807,13430,5273
MARSHALL,IOWA,24117,51555,60501,40800,15350
TERREBONNE,LOUISIANA,24114,49960,60417,111868,39279
ROCK,MINNESOTA,24101,46623,58835,9601,3970
WABASH,ILLINOIS,24096,47365,61412,11848,4785
ROCK,WISCONSIN,24094,49435,60120,160345,63309
THROCKMORTON,TEXAS,24086,39286,42368,1623,758
FRANKLIN,INDIANA,24085,49516,63675,23042,8551
ITASCA,MINNESOTA,24079,46912,56705,45219,18862
CARROLL,MISSOURI,24073,46002,61400,9216,3613
HOWARD,INDIANA,24071,43590,57615,82795,34544
GREGG,TEXAS,24064,45525,56869,122258,45292
STONEWALL,TEXAS,24063,42429,54167,1363,578
HUERFANO,COLORADO,24058,33298,41862,6625,3059
WOOD,WEST VIRGINIA,24042,42287,53647,86779,35569
FREMONT,WYOMING,24037,50418,60397,40517,15425
SHELBY,OHIO,24028,50427,60939,49317,18311
KINGMAN,KANSAS,24026,47466,58299,7860,3223
BEADLE,SOUTH DAKOTA,24025,42196,58207,17663,7343
MADISON,OHIO,24014,54956,65696,43221,14611
BERRIEN,MICHIGAN,24013,43633,56324,156290,60414
WAYNE,PENNSYLVANIA,24005,49313,58934,52212,19558
GRAYSON,TEXAS,24003,46429,57313,121292,46559
HORRY,SOUTH CAROLINA,24002,42431,51252,276688,113490
LEMHI,IDAHO,23998,34122,53709,7853,3832
BOSQUE,TEXAS,23992,44742,53835,18094,7012
OWEN,KENTUCKY,23991,41009,60356,10807,4601
PULASKI,VIRGINIA,23987,44312,54224,34768,14875
LIVINGSTON,NEW YORK,23978,53518,66664,65087,24092
STEUBEN,INDIANA,23975,48080,56300,34190,13514
MAHONING,OHIO,23975,41058,54118,237033,98201
VOLUSIA,FLORIDA,23973,42457,53086,496268,195907
CURRY,OREGON,23972,39516,48833,22361,10355
HANSFORD,TEXAS,23969,49150,57703,5566,1983
CUSTER,IDAHO,23965,39541,60954,4331,1870
BECKHAM,OKLAHOMA,23959,48989,60852,22715,7755
TREASURE,MONTANA,23948,37105,47206,711,332
SOUTH CAROLINA,STATE,23943,44779,55058,4679602,1780251
ROANE,TENNESSEE,23936,42223,52729,53765,22117
LAKE,INDIANA,23918,49035,60080,494250,182080
CHRISTIAN,ILLINOIS,23915,45145,56066,34651,14138
CUSTER,MONTANA,23910,43524,58594,11785,4986
LAPEER,MICHIGAN,23907,52939,60597,88323,32684
OCONEE,SOUTH CAROLINA,23904,41394,49753,74419,30106
DICKINSON,KANSAS,23895,48890,58884,19734,7845
PENOBSCOT,MAINE,23895,43734,56155,153649,62608
PACIFIC,WASHINGTON,23888,39830,50919,20781,9366
LUCAS,OHIO,23885,41556,55295,439511,178101
JACKSON,MISSISSIPPI,23879,48943,58357,139906,50007
KNOX,OHIO,23878,49750,59561,60925,22583
CLAY,NEBRASKA,23876,46784,54762,6469,2647
BLAIR,PENNSYLVANIA,23875,42992,55446,126940,51433
UTAH,STATE,23873,58821,66646,2813673,886770
ST. CLAIR,ALABAMA,23872,50786,57643,84521,31353
CROCKETT,TEXAS,23872,50475,57050,3840,1375
KING AND QUEEN,VIRGINIA,23868,48372,55182,7020,2863
GALLATIN,ILLINOIS,23862,40330,53250,5516,2369
ELMORE,ALABAMA,23856,54766,65479,79895,28324
WARREN,KENTUCKY,23853,44135,60772,115438,44240
PICKAWAY,OHIO,23851,54003,64576,55949,19167
SULLIVAN,TENNESSEE,23850,39479,50725,156741,66239
FULTON,NEW YORK,23839,44276,54619,55165,22611
GREELEY,NEBRASKA,23833,44950,55909,2507,1011
GRANT,OREGON,23828,35051,46000,7359,3319
COLUMBIA,WASHINGTON,23814,42519,50956,4027,1651
WASHITA,OKLAHOMA,23811,46686,53912,11631,4630
ROBERTSON,TENNESSEE,23809,52792,60073,66623,24136
WALLA WALLA,WASHINGTON,23809,46597,59108,59092,21677
PERQUIMANS,NORTH CAROLINA,23809,43709,51103,13463,5437
SAWYER,WISCONSIN,23809,39904,46831,16542,7663
UINTAH,UTAH,23805,62067,65922,33722,11007
WICHITA,KANSAS,23799,53018,54952,2231,877
BAY,MICHIGAN,23799,45376,55652,107312,44127
TAYLOR,IOWA,23793,43804,51701,6256,2764
MARQUETTE,MICHIGAN,23789,45622,61103,67358,26436
MAHASKA,IOWA,23788,47967,59173,22428,9073
BLOUNT,TENNESSEE,23788,45991,56626,123722,48728
BUTTE,CALIFORNIA,23787,43752,55917,220542,84816
MOULTRIE,ILLINOIS,23786,46622,55610,14869,5676
DINWIDDIE,VIRGINIA,23781,52027,58543,27977,9932
KANKAKEE,ILLINOIS,23779,50102,61559,112991,41245
HARVEY,KANSAS,23775,50287,65591,34722,13287
LUBBOCK,TEXAS,23773,44397,56425,282633,105277
PHILLIPS,KANSAS,23772,43059,55102,5573,2388
DIXON,NEBRASKA,23769,47325,57946,5953,2348
ROOKS,KANSAS,23768,42449,53029,5189,2349
MORGAN,ALABAMA,23764,44800,55536,119673,46192
NEW MEXICO,STATE,23763,44927,54513,2069706,761938
TRANSYLVANIA,NORTH CAROLINA,23757,41781,51702,32894,13981
MORRISON,MINNESOTA,23753,47649,60155,33118,13416
COLFAX,NEBRASKA,23751,51765,61841,10495,3686
CAPE GIRARDEAU,MISSOURI,23751,46516,57604,76322,29411
HAYES,NEBRASKA,23749,49125,56125,1142,477
POINTE COUPEE,LOUISIANA,23742,45363,59064,22736,8818
ELK,PENNSYLVANIA,23738,45767,55378,31799,13478
PASCO,FLORIDA,23736,43888,53807,468194,182707
DOUGLAS,ILLINOIS,23732,52741,65220,19902,7509
PAMLICO,NORTH CAROLINA,23724,43853,54679,13115,5146
PRICE,WISCONSIN,23723,42644,53902,14025,6776
DEWITT,TEXAS,23720,46454,55394,20269,6948
HANCOCK,ILLINOIS,23714,43925,54700,18949,8101
TOM GREEN,TEXAS,23712,44545,57722,111969,42286
ADAMS,IOWA,23707,45871,56552,3973,1745
NORMAN,MINNESOTA,23707,45389,59103,6753,2737
DEKALB,ILLINOIS,23696,53375,71343,104820,37844
TIPPECANOE,INDIANA,23691,44246,63086,175628,66667
LINCOLN,KANSAS,23686,40811,54167,3199,1414
NANCE,NEBRASKA,23684,44286,54402,3707,1534
LYON,IOWA,23683,52152,62459,11659,4425
COLUMBIA,PENNSYLVANIA,23681,44807,56917,67021,26225
ALABAMA,STATE,23680,43253,54362,4799277,1838683
DELAWARE,NEW YORK,23677,44470,56427,47491,19844
CHEYENNE,KANSAS,23677,37875,53571,2708,1343
NUECES,TEXAS,23671,47057,54483,344257,123915
SHASTA,CALIFORNIA,23670,44651,54222,177966,68980
BRADFORD,PENNSYLVANIA,23667,46963,56198,62624,24213
WHITE,INDIANA,23666,51444,60995,24542,9541
ARMSTRONG,PENNSYLVANIA,23661,45241,55063,68614,28525
SCHUYLER,ILLINOIS,23656,48138,58547,7490,3056
PALO PINTO,TEXAS,23655,41670,51399,28017,10491
CHEYENNE,COLORADO,23647,51641,63938,2189,839
CABELL,WEST VIRGINIA,23647,38374,52300,96604,40144
