COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
JO DAVIESS,ILLINOIS,29675,50817,63490,22602,9616
ILLINOIS,STATE,29666,56797,70344,12848554,4772723
CASS,NEBRASKA,29638,64697,75769,25222,9701
WRIGHT,MINNESOTA,29623,71598,81683,126142,44983
CHEROKEE,GEORGIA,29615,67261,78328,218277,76144
JEFFERSON,WEST VIRGINIA,29605,65304,77447,54131,19889
MONTOUR,PENNSYLVANIA,29600,51482,62248,18379,7233
JOHNSON,IOWA,29592,53424,79964,134034,54005
CAMERON,LOUISIANA,29559,64574,71310,6789,2529
HEMPHILL,TEXAS,29544,56379,66513,3959,1440
MIDLAND,MICHIGAN,29536,53076,65735,83842,33717
MATANUSKA-SUSITNA,ALASKA,29534,71037,81821,91519,31123
CALIFORNIA,STATE,29527,61094,69661,37659181,12542460
CECIL,MARYLAND,29518,66689,79128,101435,36394
MAUI,HAWAII,29517,63512,75407,156633,52623
RAMSEY,MINNESOTA,29484,54247,71206,515732,205395
HAMPSHIRE,MASSACHUSETTS,29460,61227,81385,159267,58828
SOUTHEAST FAIRBANKS CENSUS AREA,ALASKA,29437,56801,66369,7047,2326
CLAY,MISSOURI,29406,60936,73380,225116,86934
MORTON,NORTH DAKOTA,29389,60065,69894,27874,11416
STRAFFORD,NEW HAMPSHIRE,29369,58825,73260,123836,46968
DURHAM,NORTH CAROLINA,29347,51853,66448,276494,111276
CALAVERAS,CALIFORNIA,29329,55295,68401,45147,18702
WASHINGTON,NEBRASKA,29328,65409,83670,20234,7647
HAWAII,STATE,29305,67402,79963,1376298,449771
WELLS,NORTH DAKOTA,29301,44132,57125,4220,1949
BERKSHIRE,MASSACHUSETTS,29294,48450,65216,130545,55301
WOODFORD,KENTUCKY,29277,57580,71995,24988,9698
NORTHAMPTON,PENNSYLVANIA,29266,60097,73386,298439,112189
PINELLAS,FLORIDA,29262,45535,59491,920015,401708
FRANKLIN,MASSACHUSETTS,29259,53663,67785,71408,30534
FAYETTE,KENTUCKY,29251,48398,67973,300843,123142
BOONE,KENTUCKY,29235,67225,78101,121214,43255
DAUPHIN,PENNSYLVANIA,29234,54066,68368,269035,108831
SHERIDAN,NORTH DAKOTA,29219,43250,48403,1313,614
BENNINGTON,VERMONT,29196,50221,61270,36871,15442
POSEY,INDIANA,29187,58750,73319,25713,10050
DOUGLAS,NEBRASKA,29180,53325,69754,524697,204226
VERMONT,STATE,29167,54267,68111,625904,257004
SUFFOLK,VIRGINIA,29135,66085,78565,84842,30492
LAKE,OHIO,29132,56018,69939,229850,94048
POPE,MINNESOTA,29128,52350,64740,10957,4758
KOSSUTH,IOWA,29127,51812,64283,15437,6728
YORK,MAINE,29125,57348,70642,198220,81293
RANDALL,TEXAS,29124,58529,73144,123062,48080
DODGE,MINNESOTA,29107,69301,81702,20159,7326
WARREN,IOWA,29088,62535,74558,46631,17378
BRAZORIA,TEXAS,29081,67603,79880,319493,107717
WALSH,NORTH DAKOTA,29072,48592,61156,11102,4948
CLAY,IOWA,29060,49035,64651,16604,7148
LIPSCOMB,TEXAS,29017,57978,64934,3379,1115
SCOTT,IOWA,28948,52735,70480,167080,67049
GALLATIN,MONTANA,28939,52833,69556,91499,36973
SOLANO,CALIFORNIA,28929,67177,76932,417258,141464
NASSAU,FLORIDA,28926,55315,63888,74163,28044
MOORE,NORTH CAROLINA,28913,49544,62099,89425,36997
CALUMET,WISCONSIN,28907,65130,75563,49288,18381
KIDDER,NORTH DAKOTA,28904,50000,57675,2429,1146
WYOMING,STATE,28902,57406,70868,570134,222846
LAFAYETTE,LOUISIANA,28901,51462,67061,224719,86504
UNION,NORTH CAROLINA,28894,65892,74132,205426,68211
WARREN,VIRGINIA,28889,61610,72597,37836,14387
STILLWATER,MONTANA,28868,57906,69375,9173,3757
EL PASO,COLORADO,28867,57125,70728,634423,237039
WINDHAM,VERMONT,28867,50234,63509,44216,19417
UNION,OHIO,28852,65086,79744,52683,18216
BRISTOL,MASSACHUSETTS,28837,55298,72018,549870,210037
SAGADAHOC,MAINE,28829,56733,69561,35194,15022
DEKALB,GEORGIA,28810,50856,60182,700308,264496
HOONAH-ANGOON CENSUS AREA,ALASKA,28806,49545,60000,2141,930
SALEM,NEW JERSEY,28772,59718,74469,65825,25003
WESTON,WYOMING,28764,55461,74531,7153,2975
CLERMONT,OHIO,28761,60365,71914,198417,73728
MANASSAS,VIRGINIA,28752,71036,75810,39317,12072
ONONDAGA,NEW YORK,28746,54242,70143,467202,184855
STEVENS,MINNESOTA,28746,54206,71563,9723,3700
MONROE,NEW YORK,28732,52394,68524,746548,297040
BREMER,IOWA,28727,61216,75486,24387,9258
GRUNDY,ILLINOIS,28725,64541,78918,50064,18082
ADDISON,VERMONT,28722,57565,69157,36811,14164
BATH,VIRGINIA,28704,51365,55112,4686,2101
BEDFORD,VIRGINIA,28697,57596,69792,69175,27233
SEMINOLE,FLORIDA,28675,58175,68680,427184,147529
GLOUCESTER,VIRGINIA,28673,60519,72719,36868,13889
WASHOE,NEVADA,28670,53040,64556,425495,163198
PORTER,INDIANA,28669,62794,76004,165168,61502
OKALOOSA,FLORIDA,28600,54684,64668,185852,73253
BENTON,WASHINGTON,28583,60485,72126,178992,65675
SULLIVAN,NEW HAMPSHIRE,28582,54463,65969,43398,17808
JOHNSON,INDIANA,28575,61231,73059,141796,52239
NORTHUMBERLAND,VIRGINIA,28568,51342,60747,12334,5691
FALLON,MONTANA,28563,51164,66544,3085,1199
KODIAK ISLAND,ALASKA,28562,68718,73887,13850,4501
WARD,NORTH DAKOTA,28557,56580,67738,64008,25173
POWDER RIVER,MONTANA,28528,46250,56250,1669,720
LARAMIE,WYOMING,28505,55864,71483,93073,36859
PENNSYLVANIA,STATE,28502,52548,66646,12731381,4958427
DUNDY,NEBRASKA,28502,47431,51932,1994,893
WRANGELL,ALASKA,28474,45841,55286,2371,1149
DAVIDSON,TENNESSEE,28467,47335,58535,638395,256745
CLINTON,MICHIGAN,28449,60466,72958,75802,28534
SKAMANIA,WASHINGTON,28449,53712,67354,11126,4452
PEORIA,ILLINOIS,28438,50712,65884,187117,75892
EDDY,NEW MEXICO,28438,49165,60891,54284,19866
WASHINGTON,PENNSYLVANIA,28433,53693,68300,208047,84098
