STATE,CITY,COUNTY,SCH_BUS,AGE,SEX,DRINKING,DRUGS,VEHICLE_TYPE,TRAVEL_SPEED,WEATHER,CRIME_TYPE,CRIME_COUNT,ACC_COUNT,POPULATION
6,0,7,0,5,1,0,0,1,2,1,AMR,403,104,221016
6,0,7,0,5,1,0,0,1,2,10,AMR,403,104,221016
6,0,7,0,5,1,0,0,3,2,10,AMR,403,104,221016
6,0,7,0,5,1,0,0,4,2,10,AMR,403,104,221016
6,0,7,0,5,2,0,0,2,2,10,AMR,403,104,221016
6,0,7,0,5,2,0,1,1,1,1,AMR,403,104,221016
6,0,7,0,5,2,0,1,1,2,1,AMR,403,104,221016
6,0,7,0,5,2,0,1,1,3,1,AMR,403,104,221016
6,0,7,0,5,2,0,1,2,2,1,AMR,403,104,221016
6,0,7,0,6,1,0,0,1,2,1,AMR,403,104,221016
6,0,7,0,6,1,0,0,1,3,1,AMR,403,104,221016
6,0,7,0,6,1,0,0,2,2,1,AMR,403,104,221016
6,0,7,0,6,1,0,0,3,1,1,AMR,403,104,221016
6,0,7,0,6,1,0,0,3,2,1,AMR,403,104,221016
6,0,7,0,6,1,0,0,4,2,1,AMR,403,104,221016
6,0,7,0,6,1,1,0,2,3,1,AMR,403,104,221016
6,0,7,0,6,2,0,0,1,2,1,AMR,403,104,221016
6,0,7,0,6,2,0,0,1,3,1,AMR,403,104,221016
6,0,7,0,6,2,0,0,2,1,1,AMR,403,104,221016
6,0,7,0,6,2,0,0,2,2,1,AMR,403,104,221016
6,0,7,0,7,1,1,0,2,1,1,AMR,403,104,221016
6,0,7,0,7,1,1,0,2,2,1,AMR,403,104,221016
6,660,7,0,3,1,0,0,1,1,1,AMR,403,104,221016
6,660,7,0,3,1,0,0,3,2,1,AMR,403,104,221016
6,660,7,0,3,1,0,0,4,2,1,AMR,403,104,221016
6,660,7,0,3,1,1,0,1,3,1,AMR,403,104,221016
6,660,7,0,3,1,1,0,2,2,1,AMR,403,104,221016
6,660,7,0,6,1,0,0,1,1,1,AMR,403,104,221016
6,660,7,0,6,1,0,0,1,3,1,AMR,403,104,221016
6,660,7,0,6,1,0,0,2,2,1,AMR,403,104,221016
6,660,7,0,6,1,0,0,3,2,1,AMR,403,104,221016
6,660,7,0,6,1,0,0,4,2,1,AMR,403,104,221016
6,660,7,0,6,1,0,1,1,3,1,AMR,403,104,221016
6,660,7,0,6,1,0,1,2,2,1,AMR,403,104,221016
6,660,7,0,7,1,0,0,1,1,1,AMR,403,104,221016
6,660,7,0,7,1,0,0,3,2,1,AMR,403,104,221016
6,660,7,0,7,1,0,0,4,2,1,AMR,403,104,221016
6,2600,7,0,2,2,0,0,1,2,1,AMR,403,104,221016
6,2600,7,0,2,2,0,0,2,1,1,AMR,403,104,221016
6,2600,7,0,2,2,0,0,3,2,1,AMR,403,104,221016
6,2600,7,0,3,1,0,0,1,2,1,AMR,403,104,221016
6,2600,7,0,3,1,0,0,2,1,1,AMR,403,104,221016
6,2600,7,0,3,1,0,0,3,2,1,AMR,403,104,221016
6,2600,7,0,4,1,0,0,1,1,2,AMR,403,104,221016
6,2600,7,0,4,1,0,0,2,2,2,AMR,403,104,221016
6,2600,7,0,4,1,0,0,3,2,2,AMR,403,104,221016
6,2600,7,0,4,2,0,0,1,1,2,AMR,403,104,221016
6,2600,7,0,4,2,0,0,2,2,2,AMR,403,104,221016
6,2600,7,0,4,2,0,0,3,2,2,AMR,403,104,221016
6,2680,7,0,3,1,0,0,1,2,1,AMR,403,104,221016
6,2680,7,0,3,1,0,0,3,3,1,AMR,403,104,221016
6,2680,7,0,3,1,1,0,1,2,1,AMR,403,104,221016
6,2680,7,0,3,1,1,0,3,3,1,AMR,403,104,221016
6,2680,7,0,3,2,0,0,1,2,2,AMR,403,104,221016
6,2680,7,0,3,2,0,0,2,2,2,AMR,403,104,221016
6,0,11,0,2,1,0,0,2,2,1,AMR,10,26,21355
6,0,11,0,2,1,0,0,4,2,1,AMR,10,26,21355
6,0,11,0,3,1,0,0,1,2,1,AMR,10,26,21355
6,0,11,0,3,1,0,0,2,2,1,AMR,10,26,21355
6,0,11,0,3,1,0,0,3,2,1,AMR,10,26,21355
6,0,11,0,3,1,0,0,4,2,1,AMR,10,26,21355
6,0,11,0,5,1,0,0,3,2,1,AMR,10,26,21355
6,0,11,0,5,2,1,1,3,2,1,AMR,10,26,21355
6,0,11,0,6,1,0,0,2,2,1,AMR,10,26,21355
6,0,11,0,6,1,0,0,4,2,1,AMR,10,26,21355
6,0,11,0,6,2,0,0,3,2,1,AMR,10,26,21355
6,0,11,0,7,1,0,0,2,2,1,AMR,10,26,21355
6,0,11,0,7,1,0,0,4,2,1,AMR,10,26,21355
6,4200,11,0,6,1,0,0,1,2,10,AMR,10,26,21355
6,4200,11,0,6,1,0,0,2,2,10,AMR,10,26,21355
6,4200,11,0,6,1,0,0,3,2,10,AMR,10,26,21355
6,0,13,0,1,2,0,0,1,2,1,AMR,2316,447,1078257
6,0,13,0,2,1,0,0,3,2,1,AMR,2316,447,1078257
6,0,13,0,2,2,0,0,1,2,1,AMR,2316,447,1078257
6,0,13,0,2,2,0,0,1,2,2,AMR,2316,447,1078257
6,0,13,0,2,2,0,0,1,3,2,AMR,2316,447,1078257
6,0,13,0,2,2,0,0,2,2,1,AMR,2316,447,1078257
6,0,13,0,2,2,0,0,2,2,2,AMR,2316,447,1078257
6,0,13,0,2,2,0,0,3,3,2,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,1,1,1,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,1,2,1,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,1,2,2,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,1,3,1,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,1,3,2,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,2,2,1,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,2,2,2,AMR,2316,447,1078257
6,0,13,0,3,1,0,0,3,1,1,AMR,2316,447,1078257
