state,city,Temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
New York,Franklinville,High,30,33,41,55,66,75,78,77,70,58,46,34
New York,Franklinville,Low,12,12,19,31,40,50,54,53,46,36,28,18
New York,Fredonia,High,32,34,44,55,67,76,80,78,72,61,49,37
New York,Fredonia,Low,19,19,27,37,48,57,62,61,54,44,35,25
New York,Garden City,High,40,42,50,60,70,80,85,83,76,65,55,45
New York,Garden City,Low,26,28,34,42,51,61,66,65,58,48,40,31
New York,Geneva,High,31,33,41,55,67,76,80,78,71,59,47,36
New York,Geneva,Low,16,17,25,36,47,56,61,59,52,41,33,22
New York,Glenham,High,36,39,49,60,72,80,85,83,76,64,52,41
New York,Glenham,Low,17,19,29,39,50,59,64,62,54,42,33,23
New York,Glens Falls,High,29,33,42,57,68,77,81,79,71,58,47,34
New York,Glens Falls,Low,7,10,20,33,43,52,57,55,46,35,27,16
New York,Gloversville,High,28,31,41,55,68,76,80,78,70,58,45,33
New York,Gloversville,Low,9,11,21,33,44,54,58,56,48,36,28,17
New York,Gouverneur,High,26,29,39,53,65,75,79,78,70,57,45,32
New York,Gouverneur,Low,4,5,17,32,41,52,56,54,46,35,26,13
New York,Gowanda,High,32,35,45,57,69,77,81,79,72,61,48,37
New York,Gowanda,Low,15,15,23,33,44,55,60,58,51,41,32,23
New York,Grafton,High,29,31,41,54,67,74,78,76,68,57,44,33
New York,Grafton,Low,13,15,23,34,46,54,58,57,49,39,30,19
New York,Greenport,High,38,39,46,55,66,74,80,79,73,63,53,43
New York,Greenport,Low,24,25,31,40,50,59,66,65,59,48,40,30
New York,Hemlock,High,32,34,43,56,68,76,80,78,71,59,48,36
New York,Hemlock,Low,16,17,23,35,45,55,60,58,52,41,32,23
New York,Hinckley,High,26,29,39,52,65,73,78,76,67,56,43,31
New York,Hinckley,Low,5,6,16,29,40,50,55,53,46,34,26,14
New York,Honeoye,High,33,36,43,57,68,77,80,80,72,60,49,38
New York,Honeoye,Low,16,17,23,35,44,54,59,57,50,40,32,22
New York,Hudson,High,34,37,48,61,73,80,85,82,73,62,50,38
New York,Hudson,Low,16,18,28,38,48,57,62,61,53,41,33,22
New York,Indian Lake,High,25,29,37,50,63,71,74,73,66,54,42,30
New York,Indian Lake,Low,4,6,15,28,39,49,53,52,44,33,25,12
New York,Islip,High,39,40,49,58,69,77,83,82,75,64,54,44
New York,Islip,Low,23,24,31,40,49,60,66,65,57,45,36,28
New York,Ithaca,High,31,34,42,56,67,76,80,79,71,59,47,36
New York,Ithaca,Low,15,17,23,34,44,53,58,56,49,38,32,22
New York,Jamestown,High,32,35,44,57,68,76,80,79,72,60,48,36
New York,Jamestown,Low,15,15,22,33,42,52,56,55,47,38,30,21
New York,Lake Placid,High,27,32,40,54,66,74,78,76,69,56,44,32
New York,Lake Placid,Low,5,8,16,29,39,48,53,51,44,34,25,12
New York,Lawrenceville,High,26,29,40,54,68,76,80,78,69,58,44,31
New York,Lawrenceville,Low,6,9,19,32,45,54,59,57,49,38,28,14
New York,Liberty,High,30,33,42,55,65,74,78,77,69,58,47,34
New York,Liberty,Low,13,15,22,33,42,52,57,55,47,37,29,19
New York,Little Falls,High,31,34,44,58,71,80,84,82,74,63,48,36
New York,Little Falls,Low,14,16,26,36,47,56,61,59,52,41,33,21
New York,Little Valley,High,30,33,41,55,66,75,78,77,70,58,47,34
New York,Little Valley,Low,13,13,20,31,41,51,55,54,47,37,30,20
New York,Locke,High,27,30,38,55,65,76,77,76,68,56,44,32
New York,Locke,Low,11,13,19,32,42,52,55,53,46,35,28,18
New York,Lockport,High,32,35,44,57,70,78,82,80,72,60,48,37
New York,Lockport,Low,17,18,26,35,47,56,61,60,52,42,33,23
New York,Lowville,High,26,29,38,53,65,74,78,77,69,56,44,31
New York,Lowville,Low,7,10,19,32,42,52,56,55,47,37,28,15
