STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MISSISSIPPI,ACKERMAN,AUTO THEFTS,0,,0,,,,,1,,,,2
MISSISSIPPI,ACKERMAN,ROBBERIES,0,,0,,,,,0,,,,0
MISSISSIPPI,ACKERMAN,MURDERS,0,,0,,,,,1,,,,0
MISSISSIPPI,ACKERMAN,ARSON,0,,0,,,,,0,,,,0
MISSISSIPPI,ACKERMAN,RAPES,0,,0,,,,,0,,,,0
MASSACHUSETTS,ACTON,BURGLARIES,56,61,51,41,40,58,34,46,31,43,23,37
MASSACHUSETTS,ACTON,AUTO THEFTS,12,16,16,8,8,14,6,4,5,7,5,2
MASSACHUSETTS,ACTON,THEFTS,226,197,191,207,203,300,243,223,131,167,173,202
MASSACHUSETTS,ACTON,ROBBERIES,1,1,0,3,1,3,4,2,1,1,2,1
MASSACHUSETTS,ACTON,RAPES,1,1,3,1,2,6,3,5,2,2,0,4
MASSACHUSETTS,ACTON,MURDERS,0,0,0,0,0,0,0,0,0,1,0,0
MASSACHUSETTS,ACTON,ASSAULTS,3,1,2,0,0,2,23,14,11,20,31,18
MASSACHUSETTS,ACTON,ARSON,7,5,1,5,1,5,0,0,0,0,0,0
MASSACHUSETTS,ACUSHNET,ASSAULTS,28,20,13,22,29,22,16,21,11,17,13,12
MASSACHUSETTS,ACUSHNET,THEFTS,118,79,79,78,67,62,77,91,60,75,72,57
MASSACHUSETTS,ACUSHNET,ROBBERIES,0,1,2,2,3,2,1,1,1,2,3,1
MASSACHUSETTS,ACUSHNET,AUTO THEFTS,8,10,13,6,9,11,12,12,3,10,5,10
MASSACHUSETTS,ACUSHNET,ARSON,3,4,1,2,1,3,3,3,0,0,0,2
MASSACHUSETTS,ACUSHNET,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,ACUSHNET,BURGLARIES,34,33,68,69,55,65,81,70,55,61,43,72
MASSACHUSETTS,ACUSHNET,RAPES,3,3,0,0,2,1,3,2,0,2,0,0
GEORGIA,ACWORTH,ROBBERIES,7,8,14,,,,16,16,,5,,
GEORGIA,ACWORTH,RAPES,0,1,0,,,,0,1,,0,,
GEORGIA,ACWORTH,ARSON,,0,0,,,,,,,0,,
GEORGIA,ACWORTH,ASSAULTS,34,15,37,,,,69,104,,9,,
GEORGIA,ACWORTH,THEFTS,182,360,425,,,,426,432,,366,,
GEORGIA,ACWORTH,AUTO THEFTS,25,35,36,,,,41,26,,25,,
GEORGIA,ACWORTH,MURDERS,1,0,0,,,,0,0,,0,,
GEORGIA,ACWORTH,BURGLARIES,22,47,51,,,,51,77,,35,,
OKLAHOMA,ADA,RAPES,10,13,14,11,14,16,16,15,12,8,21,18
OKLAHOMA,ADA,THEFTS,621,630,622,618,597,613,757,685,544,529,464,630
OKLAHOMA,ADA,ROBBERIES,10,5,13,5,12,10,7,9,6,10,12,9
OKLAHOMA,ADA,AUTO THEFTS,39,48,49,38,52,42,59,44,48,28,35,50
OKLAHOMA,ADA,ASSAULTS,69,69,107,86,100,117,113,118,122,119,132,138
OKLAHOMA,ADA,ARSON,2,9,5,5,13,4,3,6,3,1,2,0
OKLAHOMA,ADA,MURDERS,0,3,1,1,1,1,1,1,0,1,1,2
OKLAHOMA,ADA,BURGLARIES,207,226,228,193,253,227,195,153,233,205,194,206
OHIO,ADA,BURGLARIES,,,,,,15,,12,29,10,16,18
OHIO,ADA,ARSON,,,,,,0,,0,0,0,0,0
OHIO,ADA,MURDERS,,,,,,0,,0,0,0,0,0
OHIO,ADA,AUTO THEFTS,,,,,,2,,3,0,0,0,2
OHIO,ADA,ASSAULTS,,,,,,1,,0,0,0,0,2
OHIO,ADA,ROBBERIES,,,,,,0,,0,0,0,0,1
OHIO,ADA,RAPES,,,,,,1,,0,1,1,1,3
OHIO,ADA,THEFTS,,,,,,55,,46,44,31,48,44
GEORGIA,ADAIRSVILLE,THEFTS,,245,212,,250,189,183,164,165,107,,
GEORGIA,ADAIRSVILLE,MURDERS,,0,0,,0,0,0,0,0,0,,
GEORGIA,ADAIRSVILLE,AUTO THEFTS,,8,12,,28,21,19,19,5,3,,
GEORGIA,ADAIRSVILLE,ROBBERIES,,5,4,,3,2,4,3,3,6,,
GEORGIA,ADAIRSVILLE,BURGLARIES,,42,36,,55,49,42,37,52,38,,
GEORGIA,ADAIRSVILLE,RAPES,,2,1,,2,0,0,0,0,1,,
GEORGIA,ADAIRSVILLE,ASSAULTS,,5,4,,3,9,11,18,6,10,,
GEORGIA,ADAIRSVILLE,ARSON,,0,0,,0,,,,0,0,,
KENTUCKY,ADAIRVILLE,ROBBERIES,,,,0,0,0,0,,,,,
KENTUCKY,ADAIRVILLE,RAPES,,,,0,0,0,0,,,,,
KENTUCKY,ADAIRVILLE,ASSAULTS,,,,0,0,0,0,,,,,
KENTUCKY,ADAIRVILLE,BURGLARIES,,,,2,6,1,4,,,,,
KENTUCKY,ADAIRVILLE,THEFTS,,,,1,4,5,0,,,,,
KENTUCKY,ADAIRVILLE,AUTO THEFTS,,,,0,1,0,0,,,,,
KENTUCKY,ADAIRVILLE,ARSON,,,,,0,0,1,,,,,
KENTUCKY,ADAIRVILLE,MURDERS,,,,0,0,0,0,,,,,
