STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CALIFORNIA,HESPERIA,BURGLARIES,465,584,510,442,484,562,517,500,476,626,668,917
CALIFORNIA,HESPERIA,THEFTS,"1,026",980,"1,092",916,945,930,"1,099","1,240",907,"1,025","1,181","1,185"
CALIFORNIA,HESPERIA,AUTO THEFTS,248,328,360,460,603,548,402,339,290,268,400,400
CALIFORNIA,HESPERIA,MURDERS,1,1,3,0,4,7,5,3,3,2,2,6
KANSAS,HESSTON,BURGLARIES,,9,6,11,10,10,24,40,,16,18,13
KANSAS,HESSTON,ASSAULTS,,3,0,1,4,5,1,3,,1,1,3
KANSAS,HESSTON,THEFTS,,57,56,43,44,47,47,73,,50,47,51
KANSAS,HESSTON,RAPES,,0,0,1,1,0,1,1,,0,0,0
KANSAS,HESSTON,ROBBERIES,,0,0,0,0,1,0,0,,0,0,1
KANSAS,HESSTON,MURDERS,,0,0,0,0,0,0,0,,0,0,0
KANSAS,HESSTON,ARSON,,0,0,0,0,1,2,0,,0,0,0
KANSAS,HESSTON,AUTO THEFTS,,1,0,3,1,3,2,1,,1,0,2
TEXAS,HEWITT,ASSAULTS,13,8,14,12,9,11,18,20,8,30,10,10
TEXAS,HEWITT,BURGLARIES,90,54,78,58,55,46,58,48,37,33,35,38
TEXAS,HEWITT,AUTO THEFTS,12,8,5,8,15,6,13,12,12,12,8,11
TEXAS,HEWITT,ARSON,1,0,0,0,2,2,0,2,0,1,0,0
TEXAS,HEWITT,ROBBERIES,0,2,0,0,0,2,4,4,1,2,2,1
TEXAS,HEWITT,RAPES,5,1,0,2,2,4,6,1,5,2,9,0
TEXAS,HEWITT,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS,HEWITT,THEFTS,207,215,164,187,167,152,171,140,152,78,90,97
IDAHO,HEYBURN,BURGLARIES,10,8,4,6,8,7,12,9,12,11,11,19
IDAHO,HEYBURN,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
IDAHO,HEYBURN,THEFTS,36,15,9,8,8,10,12,16,13,12,16,16
IDAHO,HEYBURN,ROBBERIES,0,0,0,0,0,0,0,0,0,0,0,0
IDAHO,HEYBURN,ARSON,0,0,0,0,0,0,0,0,0,0,1,3
IDAHO,HEYBURN,RAPES,0,0,1,1,0,0,0,0,1,0,0,1
IDAHO,HEYBURN,ASSAULTS,5,3,1,4,3,0,1,3,2,4,1,2
IDAHO,HEYBURN,AUTO THEFTS,0,1,2,2,0,0,1,4,3,1,1,2
ILLINOIS,HEYWORTH,AUTO THEFTS,,,,,0,2,1,2,2,2,,0
ILLINOIS,HEYWORTH,RAPES,,,,,1,2,0,0,3,,0,2
ILLINOIS,HEYWORTH,ROBBERIES,,,,,0,0,0,0,0,,1,1
ILLINOIS,HEYWORTH,THEFTS,,,,,24,20,11,9,16,,8,27
ILLINOIS,HEYWORTH,BURGLARIES,,,,,5,6,4,5,4,,3,6
ILLINOIS,HEYWORTH,MURDERS,,,,,0,0,0,0,0,,0,0
ILLINOIS,HEYWORTH,ARSON,,,,,0,0,0,1,0,,0,0
ILLINOIS,HEYWORTH,ASSAULTS,,,,,3,4,1,5,2,,0,9
FLORIDA,HIALEAH,ARSON,63,44,33,36,31,28,28,27,20,14,17,10
FLORIDA,HIALEAH,ASSAULTS,"1,059","1,012",958,911,915,858,722,699,576,643,572,506
FLORIDA,HIALEAH,THEFTS,"6,513","7,029","7,141","6,314","5,698","5,416","6,044","6,393","5,957","5,693","5,473","5,409"
FLORIDA,HIALEAH,BURGLARIES,"1,596","1,609","1,804","1,699","1,542","1,673","1,808","1,624","1,093","1,098","1,069","1,048"
FLORIDA,HIALEAH,MURDERS,9,9,13,12,8,5,7,8,8,12,4,4
FLORIDA,HIALEAH,RAPES,40,48,31,46,38,26,42,38,32,40,31,40
FLORIDA,HIALEAH,AUTO THEFTS,"2,570","2,079","1,861","1,821","1,532","1,585","1,694","1,734","1,163","1,067",951,737
FLORIDA,HIALEAH,ROBBERIES,461,431,427,385,387,374,503,404,309,256,253,260
FLORIDA,HIALEAH GARDENS,AUTO THEFTS,142,149,173,152,114,125,121,150,120,78,71,56
FLORIDA,HIALEAH GARDENS,MURDERS,0,0,1,0,0,1,0,1,1,0,1,0
FLORIDA,HIALEAH GARDENS,BURGLARIES,193,165,173,158,161,198,239,188,137,119,120,95
FLORIDA,HIALEAH GARDENS,RAPES,2,1,1,1,0,1,2,3,1,3,5,0
FLORIDA,HIALEAH GARDENS,ASSAULTS,42,28,33,48,34,38,32,42,29,32,22,18
FLORIDA,HIALEAH GARDENS,ARSON,0,1,1,2,1,0,4,3,1,4,0,0
FLORIDA,HIALEAH GARDENS,ROBBERIES,12,20,11,25,18,23,22,27,27,17,13,10
FLORIDA,HIALEAH GARDENS,THEFTS,698,679,657,709,608,465,584,658,627,792,739,782
GEORGIA,HIAWASSEE,MURDERS,0,0,0,0,,,0,0,0,0,0,0
GEORGIA,HIAWASSEE,THEFTS,17,18,24,53,,,26,25,26,20,22,39
GEORGIA,HIAWASSEE,ROBBERIES,0,0,1,0,,,1,0,0,0,0,1
GEORGIA,HIAWASSEE,BURGLARIES,9,6,10,9,,,6,9,6,1,5,14
GEORGIA,HIAWASSEE,ARSON,,0,,0,,,,,0,0,0,0
GEORGIA,HIAWASSEE,ASSAULTS,1,2,0,4,,,6,5,6,4,5,0
GEORGIA,HIAWASSEE,AUTO THEFTS,0,1,4,2,,,1,0,0,0,0,1
GEORGIA,HIAWASSEE,RAPES,0,0,0,0,,,0,0,0,1,0,0
IOWA,HIAWATHA,BURGLARIES,,,,,,,,,,25,25,30
IOWA,HIAWATHA,RAPES,,,,,,,,,,1,0,0
IOWA,HIAWATHA,ASSAULTS,,,,,,,,,,0,0,3
IOWA,HIAWATHA,ARSON,,,,,,,,,,2,0,0
IOWA,HIAWATHA,THEFTS,,,,,,,,,,107,66,46
IOWA,HIAWATHA,MURDERS,,,,,,,,,,1,0,0
IOWA,HIAWATHA,AUTO THEFTS,,,,,,,,,,3,1,1
IOWA,HIAWATHA,ROBBERIES,,,,,,,,,,1,0,0
KANSAS,HIAWATHA,RAPES,,6,1,1,0,0,2,2,0,0,1,0
KANSAS,HIAWATHA,THEFTS,,81,50,76,95,50,76,64,57,35,79,86
KANSAS,HIAWATHA,ASSAULTS,,2,4,4,8,10,9,11,3,1,2,1
KANSAS,HIAWATHA,AUTO THEFTS,,3,1,1,10,8,5,4,4,2,2,3
KANSAS,HIAWATHA,ARSON,,0,0,0,0,1,0,3,1,0,0,0
KANSAS,HIAWATHA,MURDERS,,0,0,0,1,0,0,0,0,0,0,0
KANSAS,HIAWATHA,ROBBERIES,,0,0,1,1,0,1,0,0,0,0,0
KANSAS,HIAWATHA,BURGLARIES,,13,19,21,39,19,15,10,9,6,2,8
MINNESOTA,HIBBING,RAPES,3,5,4,2,0,,,,,,,
MINNESOTA,HIBBING,MURDERS,0,0,0,0,0,0,1,1,0,0,0,0
MINNESOTA,HIBBING,AUTO THEFTS,12,21,36,8,8,10,3,5,18,5,4,2
MINNESOTA,HIBBING,BURGLARIES,60,77,84,44,45,38,43,54,37,18,9,6
MINNESOTA,HIBBING,ASSAULTS,17,6,6,13,8,15,17,6,15,15,24,16
MINNESOTA,HIBBING,ROBBERIES,2,1,1,0,1,1,2,0,2,0,1,3
MINNESOTA,HIBBING,THEFTS,165,204,195,90,107,68,89,106,289,219,168,82
MINNESOTA,HIBBING,ARSON,0,1,1,0,1,0,0,0,1,0,1,0
KENTUCKY,HICKMAN,ASSAULTS,,,,4,0,4,3,2,,,,
KENTUCKY,HICKMAN,THEFTS,,,,20,26,24,49,26,,,,
KENTUCKY,HICKMAN,ARSON,,,,,0,0,0,,,,,
KENTUCKY,HICKMAN,ROBBERIES,,,,0,0,3,0,0,,,,
KENTUCKY,HICKMAN,MURDERS,,,,0,0,0,0,0,,,,
KENTUCKY,HICKMAN,BURGLARIES,,,,7,9,9,16,19,,,,
KENTUCKY,HICKMAN,AUTO THEFTS,,,,4,4,4,5,3,,,,
KENTUCKY,HICKMAN,RAPES,,,,1,0,0,1,0,,,,
NORTH CAROLINA,HICKORY,THEFTS,"2,282","2,275","2,389","2,215","2,381","2,082","2,338","2,361","2,020","1,836","1,850","2,003"
NORTH CAROLINA,HICKORY,ARSON,21,18,16,7,15,10,26,,21,13,9,13
NORTH CAROLINA,HICKORY,RAPES,9,20,15,23,28,26,21,22,14,22,11,22
NORTH CAROLINA,HICKORY,ASSAULTS,106,133,68,167,226,178,226,190,201,118,147,159
NORTH CAROLINA,HICKORY,MURDERS,6,3,1,4,2,1,5,3,5,1,5,3
NORTH CAROLINA,HICKORY,ROBBERIES,91,71,92,101,112,115,116,116,118,76,75,81
NORTH CAROLINA,HICKORY,AUTO THEFTS,228,159,176,113,281,245,277,204,143,121,114,162
NORTH CAROLINA,HICKORY,BURGLARIES,571,482,623,758,773,736,783,615,670,616,536,475
TEXAS,HICKORY CREEK,ARSON,0,0,0,0,0,,,,,,,
TEXAS,HICKORY CREEK,ASSAULTS,0,4,3,0,1,,,,,,,
TEXAS,HICKORY CREEK,MURDERS,0,0,0,0,0,,,,,,,
TEXAS,HICKORY CREEK,RAPES,0,0,0,1,0,,,,,,,
TEXAS,HICKORY CREEK,AUTO THEFTS,5,9,3,8,0,,,,,,,
TEXAS,HICKORY CREEK,BURGLARIES,15,25,18,10,14,,,,,,,
TEXAS,HICKORY CREEK,THEFTS,47,107,116,127,93,,,,,,,
TEXAS,HICKORY CREEK,ROBBERIES,2,4,3,3,0,,,,,,,
ILLINOIS,HICKORY HILLS,ROBBERIES,3,5,5,1,8,5,7,8,6,14,5,6
ILLINOIS,HICKORY HILLS,ASSAULTS,4,7,7,7,2,4,7,5,6,4,3,7
ILLINOIS,HICKORY HILLS,MURDERS,1,0,0,0,0,1,0,2,1,0,0,0
ILLINOIS,HICKORY HILLS,THEFTS,205,183,183,178,178,189,193,213,184,252,181,182
ILLINOIS,HICKORY HILLS,RAPES,7,3,3,3,4,3,3,1,9,2,0,2
ILLINOIS,HICKORY HILLS,ARSON,1,1,1,0,0,0,0,2,1,0,3,0
ILLINOIS,HICKORY HILLS,AUTO THEFTS,17,23,23,16,17,21,13,22,11,14,14,15
ILLINOIS,HICKORY HILLS,BURGLARIES,28,51,51,36,28,33,50,35,42,31,44,48
OHIO,HICKSVILLE,RAPES,2,0,0,0,,,,,1,0,0,0
OHIO,HICKSVILLE,ARSON,0,0,0,0,,,,,2,0,1,0
OHIO,HICKSVILLE,AUTO THEFTS,2,4,5,6,,,,,0,1,0,0
OHIO,HICKSVILLE,ASSAULTS,1,0,1,3,,,,,1,1,1,1
OHIO,HICKSVILLE,MURDERS,0,0,0,0,,,,,0,0,0,0
OHIO,HICKSVILLE,ROBBERIES,0,0,0,0,,,,,0,0,0,0
OHIO,HICKSVILLE,BURGLARIES,21,25,29,30,,,,,8,7,10,0
OHIO,HICKSVILLE,THEFTS,114,162,151,119,,,,,67,40,35,12
TEXAS,HICO,ARSON,0,0,0,0,,,,,,,,
TEXAS,HICO,BURGLARIES,12,15,19,13,,,,,,,,
TEXAS,HICO,ASSAULTS,2,6,2,3,,,,,,,,
TEXAS,HICO,THEFTS,10,8,16,2,,,,,,,,
TEXAS,HICO,RAPES,0,0,0,1,,,,,,,,
TEXAS,HICO,AUTO THEFTS,2,2,2,3,,,,,,,,
TEXAS,HICO,ROBBERIES,0,0,0,0,,,,,,,,
TEXAS,HICO,MURDERS,0,0,0,0,,,,,,,,
TEXAS,HIDALGO,BURGLARIES,30,65,81,99,98,,,,,,,
TEXAS,HIDALGO,THEFTS,160,141,264,201,127,,,,,,,
TEXAS,HIDALGO,ROBBERIES,8,2,3,5,8,,,,,,,
TEXAS,HIDALGO,ARSON,1,4,3,1,0,,,,,,,
TEXAS,HIDALGO,AUTO THEFTS,20,36,30,42,40,,,,,,,
TEXAS,HIDALGO,MURDERS,0,2,1,0,0,,,,,,,
TEXAS,HIDALGO,RAPES,0,3,1,3,4,,,,,,,
TEXAS,HIDALGO,ASSAULTS,27,27,39,35,21,,,,,,,
CALIFORNIA,HIDDEN HILLS,BURGLARIES,1,6,5,9,5,1,9,8,6,10,4,1
CALIFORNIA,HIDDEN HILLS,THEFTS,8,8,11,18,11,16,19,19,12,8,11,3
CALIFORNIA,HIDDEN HILLS,ROBBERIES,0,0,0,0,0,0,0,0,0,0,0,0
CALIFORNIA,HIDDEN HILLS,MURDERS,0,0,0,0,0,0,0,0,0,0,0,0
CALIFORNIA,HIDDEN HILLS,RAPES,1,0,0,0,0,0,0,0,0,0,0,0
CALIFORNIA,HIDDEN HILLS,ASSAULTS,5,2,0,1,1,0,0,1,2,3,0,0
CALIFORNIA,HIDDEN HILLS,AUTO THEFTS,1,0,0,0,3,0,1,1,1,0,0,0
CALIFORNIA,HIDDEN HILLS,ARSON,0,0,0,0,0,0,0,0,0,0,0,0
MISSOURI,HIGGINSVILLE,AUTO THEFTS,,1,2,6,9,7,5,6,4,5,3,9
MISSOURI,HIGGINSVILLE,MURDERS,,0,0,0,0,0,0,1,0,0,0,0
MISSOURI,HIGGINSVILLE,BURGLARIES,,24,12,28,24,28,19,36,20,13,26,26
MISSOURI,HIGGINSVILLE,ARSON,,0,2,1,1,0,0,1,1,0,0,1
MISSOURI,HIGGINSVILLE,ASSAULTS,,12,3,7,25,4,10,6,7,3,0,0
MISSOURI,HIGGINSVILLE,ROBBERIES,,2,0,1,1,0,1,0,0,0,0,0
MISSOURI,HIGGINSVILLE,THEFTS,,99,84,124,133,152,109,136,94,93,122,85
MISSOURI,HIGGINSVILLE,RAPES,,0,0,0,0,1,1,0,0,2,3,2
NEW JERSEY,HIGH BRIDGE,BURGLARIES,3,18,9,5,15,4,7,12,14,13,3,10
NEW JERSEY,HIGH BRIDGE,THEFTS,19,17,21,24,21,32,36,39,37,33,25,23
NEW JERSEY,HIGH BRIDGE,MURDERS,0,0,1,0,0,0,0,0,0,0,0,0
NEW JERSEY,HIGH BRIDGE,ARSON,0,0,0,0,1,0,1,0,3,0,1,0
NEW JERSEY,HIGH BRIDGE,RAPES,0,0,0,0,1,0,1,1,1,5,1,0
NEW JERSEY,HIGH BRIDGE,AUTO THEFTS,0,1,0,1,4,2,2,0,1,1,0,0
NEW JERSEY,HIGH BRIDGE,ASSAULTS,0,2,3,1,0,4,3,2,2,5,2,1
NEW JERSEY,HIGH BRIDGE,ROBBERIES,0,0,0,0,0,0,0,0,0,0,0,1
MISSOURI,HIGH HILL,ASSAULTS,,0,0,0,0,1,0,0,0,0,0,
MISSOURI,HIGH HILL,MURDERS,,0,0,0,0,0,0,0,0,0,0,
MISSOURI,HIGH HILL,ARSON,,0,0,0,0,0,0,0,0,0,0,
MISSOURI,HIGH HILL,RAPES,,0,0,0,0,0,0,0,0,0,0,
MISSOURI,HIGH HILL,AUTO THEFTS,,0,0,1,2,0,0,0,0,0,0,
MISSOURI,HIGH HILL,ROBBERIES,,0,0,0,0,0,0,0,0,0,0,
MISSOURI,HIGH HILL,THEFTS,,3,3,4,8,2,1,2,1,1,3,
MISSOURI,HIGH HILL,BURGLARIES,,0,2,0,2,3,0,1,1,1,0,
NORTH CAROLINA,HIGH POINT,ASSAULTS,421,389,479,392,364,381,445,367,369,358,372,347
NORTH CAROLINA,HIGH POINT,ROBBERIES,314,269,264,224,217,269,335,310,273,220,200,185
NORTH CAROLINA,HIGH POINT,BURGLARIES,"1,807","1,483","1,585","1,819","1,970","1,697","1,870","1,953","1,463","1,313","1,266","1,188"
NORTH CAROLINA,HIGH POINT,MURDERS,11,5,8,10,8,8,13,11,3,2,3,5
NORTH CAROLINA,HIGH POINT,THEFTS,"3,968","3,641","3,765","3,495","3,509","3,449","3,456","3,755","3,619","3,346","3,550","2,943"
NORTH CAROLINA,HIGH POINT,ARSON,53,41,29,27,36,28,42,33,32,36,24,39
NORTH CAROLINA,HIGH POINT,AUTO THEFTS,618,589,557,501,478,506,420,400,244,220,241,286
NORTH CAROLINA,HIGH POINT,RAPES,27,37,34,42,27,41,39,30,33,28,25,19
FLORIDA,HIGH SPRINGS,ARSON,0,0,0,0,,1,0,0,1,2,0,2
FLORIDA,HIGH SPRINGS,MURDERS,0,0,0,0,,0,0,0,0,0,2,0
FLORIDA,HIGH SPRINGS,AUTO THEFTS,14,16,19,7,,18,11,8,4,5,1,8
FLORIDA,HIGH SPRINGS,ROBBERIES,5,3,1,3,,2,0,4,3,2,4,5
FLORIDA,HIGH SPRINGS,RAPES,0,1,0,1,,1,0,0,1,2,1,4
FLORIDA,HIGH SPRINGS,BURGLARIES,30,43,26,34,,55,31,45,27,37,53,44
FLORIDA,HIGH SPRINGS,THEFTS,71,94,74,77,,121,74,97,110,91,103,113
FLORIDA,HIGH SPRINGS,ASSAULTS,10,7,17,14,,12,10,19,23,19,14,21
FLORIDA,HIGHLAND BEACH,BURGLARIES,9,7,12,10,8,7,7,11,7,7,8,12
FLORIDA,HIGHLAND BEACH,ROBBERIES,1,1,0,0,0,1,0,0,0,0,0,0
FLORIDA,HIGHLAND BEACH,THEFTS,39,30,34,26,22,27,19,38,23,31,9,30
FLORIDA,HIGHLAND BEACH,ARSON,1,0,0,0,0,0,0,0,0,0,0,0
FLORIDA,HIGHLAND BEACH,RAPES,0,0,4,1,0,0,0,0,0,1,0,0
FLORIDA,HIGHLAND BEACH,MURDERS,1,0,0,0,0,0,0,0,0,0,0,0
FLORIDA,HIGHLAND BEACH,AUTO THEFTS,2,1,1,3,0,5,1,0,2,1,2,2
FLORIDA,HIGHLAND BEACH,ASSAULTS,3,1,0,0,2,4,0,0,0,2,0,0
CALIFORNIA,HIGHLAND,BURGLARIES,389,376,307,314,316,380,375,330,426,504,556,629
CALIFORNIA,HIGHLAND,ARSON,17,9,16,11,14,14,13,11,14,15,14,10
CALIFORNIA,HIGHLAND,MURDERS,4,4,7,5,7,2,6,3,7,4,4,4
CALIFORNIA,HIGHLAND,AUTO THEFTS,306,348,365,381,382,384,379,264,270,250,260,298
CALIFORNIA,HIGHLAND,ASSAULTS,101,60,81,89,110,115,166,113,153,134,141,195
CALIFORNIA,HIGHLAND,THEFTS,731,872,762,739,705,631,582,725,572,738,641,689
CALIFORNIA,HIGHLAND,ROBBERIES,84,101,101,85,77,100,135,105,87,96,81,92
CALIFORNIA,HIGHLAND,RAPES,8,14,12,10,10,13,18,15,13,8,10,5
ILLINOIS,HIGHLAND,AUTO THEFTS,10,7,7,9,21,6,7,1,3,6,3,0
ILLINOIS,HIGHLAND,ROBBERIES,0,1,1,0,0,0,4,1,1,8,11,2
ILLINOIS,HIGHLAND,ARSON,0,1,1,0,2,0,0,0,0,0,0,0
ILLINOIS,HIGHLAND,BURGLARIES,49,30,30,19,24,17,25,40,19,26,18,25
ILLINOIS,HIGHLAND,THEFTS,179,177,177,98,147,170,178,195,123,163,105,101
ILLINOIS,HIGHLAND,RAPES,1,0,0,1,1,2,0,1,0,0,5,2
ILLINOIS,HIGHLAND,ASSAULTS,7,4,4,7,14,13,14,9,4,1,3,5
ILLINOIS,HIGHLAND,MURDERS,0,0,0,0,1,0,0,0,0,0,0,0
KANSAS,HIGHLAND,AUTO THEFTS,,,0,,,,,,,2,0,
KANSAS,HIGHLAND,ROBBERIES,,,0,,,,,,,0,0,
KANSAS,HIGHLAND,MURDERS,,,0,,,,,,,0,0,
KANSAS,HIGHLAND,ASSAULTS,,,1,,,,,,,0,2,
KANSAS,HIGHLAND,RAPES,,,0,,,,,,,0,0,
KANSAS,HIGHLAND,THEFTS,,,17,,,,,,,19,5,
KANSAS,HIGHLAND,BURGLARIES,,,9,,,,,,,12,17,
KANSAS,HIGHLAND,ARSON,,,0,,,,,,,0,2,
NEW YORK,HIGHLAND FALLS,ROBBERIES,0,2,,0,2,0,0,,2,0,,
NEW YORK,HIGHLAND FALLS,BURGLARIES,12,5,,7,8,3,17,,5,6,,
NEW YORK,HIGHLAND FALLS,ASSAULTS,27,11,,6,6,0,4,,3,0,,
NEW YORK,HIGHLAND FALLS,MURDERS,0,0,,0,0,0,0,,0,0,,
NEW YORK,HIGHLAND FALLS,AUTO THEFTS,3,3,,0,3,0,2,,0,0,,
NEW YORK,HIGHLAND FALLS,RAPES,1,1,,1,0,0,0,,0,0,,
NEW YORK,HIGHLAND FALLS,ARSON,0,,,,,0,0,,0,0,,
NEW YORK,HIGHLAND FALLS,THEFTS,33,60,,64,34,4,50,,17,41,,
OHIO,HIGHLAND HEIGHTS,ASSAULTS,3,1,5,1,0,1,3,1,0,0,1,0
OHIO,HIGHLAND HEIGHTS,MURDERS,0,0,0,1,0,0,0,0,0,0,0,0
OHIO,HIGHLAND HEIGHTS,RAPES,0,0,0,0,0,1,0,0,0,0,0,0
OHIO,HIGHLAND HEIGHTS,BURGLARIES,10,2,7,6,13,9,12,21,7,17,25,10
OHIO,HIGHLAND HEIGHTS,ROBBERIES,2,1,0,0,0,4,1,1,2,0,0,2
OHIO,HIGHLAND HEIGHTS,THEFTS,132,41,89,80,80,110,78,55,54,54,85,103
OHIO,HIGHLAND HEIGHTS,AUTO THEFTS,8,4,2,6,11,3,5,4,4,2,5,2
OHIO,HIGHLAND HEIGHTS,ARSON,0,0,0,0,0,0,0,0,0,0,0,0
OHIO,HIGHLAND HILLS,ROBBERIES,,,,0,0,0,1,,0,0,,
OHIO,HIGHLAND HILLS,BURGLARIES,,,,0,0,0,1,,0,0,,
OHIO,HIGHLAND HILLS,THEFTS,,,,1,0,0,6,,3,1,,
OHIO,HIGHLAND HILLS,AUTO THEFTS,,,,0,0,1,3,,0,1,,
OHIO,HIGHLAND HILLS,MURDERS,,,,0,0,0,0,,0,0,,
OHIO,HIGHLAND HILLS,RAPES,,,,0,0,0,0,,0,0,,
OHIO,HIGHLAND HILLS,ASSAULTS,,,,3,0,0,0,,0,0,,
OHIO,HIGHLAND HILLS,ARSON,,,,0,0,0,0,,0,0,,
ILLINOIS,HIGHLAND PARK,BURGLARIES,58,35,35,56,61,67,52,64,59,59,46,35
ILLINOIS,HIGHLAND PARK,MURDERS,0,1,1,0,0,0,0,0,0,0,0,0
ILLINOIS,HIGHLAND PARK,ROBBERIES,2,5,5,3,3,4,5,1,2,16,15,2
ILLINOIS,HIGHLAND PARK,ARSON,0,1,1,2,1,0,2,1,2,1,0,0
ILLINOIS,HIGHLAND PARK,RAPES,3,5,5,3,6,6,1,2,4,1,7,13
ILLINOIS,HIGHLAND PARK,ASSAULTS,14,19,19,10,6,15,15,16,15,0,3,21
ILLINOIS,HIGHLAND PARK,AUTO THEFTS,38,18,18,15,19,10,7,7,8,12,9,8
ILLINOIS,HIGHLAND PARK,THEFTS,407,442,442,309,340,431,335,372,336,293,296,319
TEXAS,HIGHLAND PARK,BURGLARIES,100,47,64,54,73,,45,37,59,33,30,17
TEXAS,HIGHLAND PARK,RAPES,0,0,1,0,1,0,0,0,0,1,0,0
TEXAS,HIGHLAND PARK,ARSON,2,1,1,1,1,0,1,0,0,0,2,2
TEXAS,HIGHLAND PARK,MURDERS,2,0,0,0,0,0,0,0,0,0,0,0
TEXAS,HIGHLAND PARK,ASSAULTS,10,8,6,8,8,5,2,1,4,4,0,1
TEXAS,HIGHLAND PARK,THEFTS,254,239,314,272,234,,214,202,176,174,162,224
TEXAS,HIGHLAND PARK,AUTO THEFTS,10,17,23,20,18,7,11,13,15,10,9,7
TEXAS,HIGHLAND PARK,ROBBERIES,5,3,6,5,2,1,6,3,5,0,0,2
INDIANA,HIGHLAND,ARSON,3,3,2,2,2,2,4,0,2,1,2,5
INDIANA,HIGHLAND,ROBBERIES,19,26,16,20,32,16,19,20,17,6,15,10
INDIANA,HIGHLAND,THEFTS,859,809,830,814,772,742,812,736,737,683,723,571
INDIANA,HIGHLAND,MURDERS,2,1,0,0,1,0,0,0,1,0,1,1
INDIANA,HIGHLAND,RAPES,1,2,3,2,6,2,3,3,3,1,1,2
INDIANA,HIGHLAND,ASSAULTS,18,18,6,13,16,15,21,13,12,10,3,12
INDIANA,HIGHLAND,AUTO THEFTS,134,103,84,57,95,79,62,55,55,57,66,44
INDIANA,HIGHLAND,BURGLARIES,98,111,98,116,103,142,126,108,101,81,96,98
TEXAS,HIGHLAND VILLAGE,MURDERS,0,1,0,0,0,0,0,1,0,0,0,0
TEXAS,HIGHLAND VILLAGE,ROBBERIES,1,1,1,1,0,2,2,1,0,0,2,3
TEXAS,HIGHLAND VILLAGE,BURGLARIES,44,40,57,20,32,17,13,16,7,16,18,7
TEXAS,HIGHLAND VILLAGE,THEFTS,92,92,74,115,75,67,60,122,92,75,91,169
TEXAS,HIGHLAND VILLAGE,AUTO THEFTS,7,7,2,3,6,1,2,4,6,3,3,2
TEXAS,HIGHLAND VILLAGE,ASSAULTS,2,10,4,10,3,8,12,10,4,3,4,3
TEXAS,HIGHLAND VILLAGE,RAPES,0,0,1,1,3,3,2,1,2,0,1,0
TEXAS,HIGHLAND VILLAGE,ARSON,0,1,2,2,3,0,1,1,0,0,0,0
WISCONSIN,HIGHLAND,MURDERS,,,,,,,,0,0,0,0,0
WISCONSIN,HIGHLAND,THEFTS,,,,,,,,4,5,5,3,5
WISCONSIN,HIGHLAND,BURGLARIES,,,,,,,,2,1,0,2,15
WISCONSIN,HIGHLAND,ASSAULTS,,,,,,,,0,0,0,0,0
WISCONSIN,HIGHLAND,ROBBERIES,,,,,,,,0,0,0,0,0
WISCONSIN,HIGHLAND,ARSON,,,,,,,,0,0,0,0,0
WISCONSIN,HIGHLAND,RAPES,,,,,,,,0,0,0,0,0
WISCONSIN,HIGHLAND,AUTO THEFTS,,,,,,,,1,0,0,0,0
NORTH CAROLINA,HIGHLANDS,ARSON,0,0,0,,,0,0,0,0,0,0,0
NORTH CAROLINA,HIGHLANDS,ASSAULTS,0,3,1,,,0,1,1,4,0,3,0
NORTH CAROLINA,HIGHLANDS,BURGLARIES,4,6,5,,,26,37,19,13,14,13,10
NORTH CAROLINA,HIGHLANDS,ROBBERIES,0,1,1,,,0,0,0,0,0,2,0
NORTH CAROLINA,HIGHLANDS,MURDERS,0,0,0,,,0,0,0,0,0,0,0
NORTH CAROLINA,HIGHLANDS,RAPES,0,0,1,,,0,0,0,2,0,0,0
NORTH CAROLINA,HIGHLANDS,AUTO THEFTS,1,3,0,,,3,0,0,0,0,4,0
NORTH CAROLINA,HIGHLANDS,THEFTS,19,19,18,,,40,43,34,34,21,30,48
MISSOURI,HIGHLANDVILLE,ROBBERIES,,,0,0,0,0,0,0,0,0,0,0
MISSOURI,HIGHLANDVILLE,THEFTS,,,36,13,6,3,1,1,2,3,1,0
MISSOURI,HIGHLANDVILLE,RAPES,,,1,0,0,0,0,0,0,0,0,0
MISSOURI,HIGHLANDVILLE,BURGLARIES,,,4,3,1,3,0,0,0,0,1,0
MISSOURI,HIGHLANDVILLE,MURDERS,,,0,0,0,0,0,0,0,0,0,0
MISSOURI,HIGHLANDVILLE,ASSAULTS,,,0,0,0,2,1,0,0,1,0,0
MISSOURI,HIGHLANDVILLE,ARSON,,,0,0,0,0,0,0,0,0,0,0
MISSOURI,HIGHLANDVILLE,AUTO THEFTS,,,0,0,1,2,0,0,1,0,0,0
PENNSYLVANIA,HIGHSPIRE,AUTO THEFTS,,,7,4,8,8,1,1,3,4,1,2
PENNSYLVANIA,HIGHSPIRE,RAPES,,,0,0,1,2,0,0,2,0,0,1
PENNSYLVANIA,HIGHSPIRE,ROBBERIES,,,1,2,8,5,2,1,1,2,1,2
PENNSYLVANIA,HIGHSPIRE,ARSON,,,1,1,1,1,2,0,2,4,4,0
PENNSYLVANIA,HIGHSPIRE,MURDERS,,,0,0,0,0,0,0,0,0,0,1
